date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:35:17	128/128	---M-Z	200	added ('OK')	text/plain	date:Mon,%2005%20Aug%202024%2006:35:18%20GMT	https://yorkstreetspa.com/robots.txt		(from )
14:35:18	215649/215649	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Aug%202024%2006:35:19%20GMT	https://yorkstreetspa.com/	C:/My%20Web%20Sites/yorkstreetspa.com/yorkstreetspa.com/index.html	(from )
14:35:19	11473/11473	---M-Z	200	added ('OK')	text/css	etag:%222cd1-658c0a66-2e0ef9501ac0af3c;gz%22	https://yorkstreetspa.com/wp-content/themes/twentyseventeen/assets/fonts/font-libre-franklin.css?ver=20230328	C:/My%20Web%20Sites/yorkstreetspa.com/yorkstreetspa.com/wp-content/themes/twentyseventeen/assets/fonts/font-libre-franklin6a62.css	(from https://yorkstreetspa.com/)
14:35:19	13632/13632	---MCZ	200	added ('OK')	application/rss+xml	etag:%22b91d04ad792544377d1d02c500a5ca01%22	https://yorkstreetspa.com/feed/	C:/My%20Web%20Sites/yorkstreetspa.com/yorkstreetspa.com/feed/index.html	(from https://yorkstreetspa.com/)
14:35:20	711/711	---M-Z	200	added ('OK')	application/rss+xml	etag:%22b91d04ad792544377d1d02c500a5ca01%22	https://yorkstreetspa.com/comments/feed/	C:/My%20Web%20Sites/yorkstreetspa.com/yorkstreetspa.com/comments/feed/index.html	(from https://yorkstreetspa.com/)
14:35:20	84098/84098	---M-Z	200	added ('OK')	text/css	etag:%2214882-658c0a66-4237a04b421276d6;gz%22	https://yorkstreetspa.com/wp-content/themes/twentyseventeen/style.css?ver=20231107	C:/My%20Web%20Sites/yorkstreetspa.com/yorkstreetspa.com/wp-content/themes/twentyseventeen/style2a09.css	(from https://yorkstreetspa.com/)
14:35:20	10745/10745	---M-Z	200	added ('OK')	text/css	etag:%2229f9-658c0a66-f444fac0631c82c9;gz%22	https://yorkstreetspa.com/wp-content/themes/twentyseventeen/assets/css/blocks.css?ver=20220912	C:/My%20Web%20Sites/yorkstreetspa.com/yorkstreetspa.com/wp-content/themes/twentyseventeen/assets/css/blocks1cd1.css	(from https://yorkstreetspa.com/)
14:35:21	212120/212120	---M-Z	200	added ('OK')	text/css	etag:%2233c98-669fd588-93fde799383a3620;gz%22	https://yorkstreetspa.com/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.23.2	C:/My%20Web%20Sites/yorkstreetspa.com/yorkstreetspa.com/wp-content/plugins/elementor/assets/css/frontend-lite.min5f06.css	(from https://yorkstreetspa.com/)
14:35:21	16471/16471	---M-Z	200	added ('OK')	text/css	etag:%224057-669fd588-d6a624912a87be4a;gz%22	https://yorkstreetspa.com/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5	C:/My%20Web%20Sites/yorkstreetspa.com/yorkstreetspa.com/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min94a4.css	(from https://yorkstreetspa.com/)
14:35:22	1211/1211	---M-Z	200	added ('OK')	text/css	etag:%224bb-669fd5c1-56491fe3f87953e1;gz%22	https://yorkstreetspa.com/wp-content/uploads/elementor/css/post-44.css?ver=1721750977	C:/My%20Web%20Sites/yorkstreetspa.com/yorkstreetspa.com/wp-content/uploads/elementor/css/post-44db14.css	(from https://yorkstreetspa.com/)
